gouvernorat,empty,chomage,nbr,arabe
Tunis,,"18,2","84,4",تونس
Ariana,,"10,9","27,9",أريانة
Ben Arous,,"18,4","47,0",بن عروس
Manouba,,"19,4","30,5",منوبة
Nabeul,,"8,9","31,5",نابل
Zaghouan,,"9,1","6,2",زغوان
Bizerte,,"11,3","24,2",بنزرت
Beja,,"18,9","20,4",باجة
Jendouba,,"21,6","27,2",جندوبة
Le Kef,,"13,1","12,0",الكاف
Siliana,,"14,0","10,7",سليانة
Sousse,,"13,4","34,2",سوسة
Monastir,,"7,5","16,9",المنستير
Mahdia,,"11,1","16,0",المهدية
Sfax,,"8,6","31,4",صفاقس
Kairouan,,"16,1","29,9",القيروان
Kasserine,,"24,1","31,3",القصرين
Sidi Bouzid,,"18,2","20,8",سيدي بوزيد
Gabes,,"25,4","31,5",قابس
Médenine,,"19,9","31,8",مدنين
Tataouine,,"32,4","17,0",تطاوين
Gafsa,,"28,9","31,9",قفصة
Tozeur,,"21,1","8,0",توزر
Kébili,,"24,7","15,3",قبلي
