,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,TYPE (النوع),(All),,,,,,,,,,,,,,,,,,,
1,GBO (البرامج),(All),,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,
3,,Column Labels,,,,,,,,,,,,,,,,,,,
4,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,Total Sum of LOI DE FINANCE,Total Sum of OUVERT (الموزع)
5,Row Labels,Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),,
6,2,,,,,,,,,,,,,,,,,4842500,15042879,4842500,15042879
7,21 Protection des Zones Urbaines des innondations,,,,,,,,,,,,,,,,,1625000,12425000,1625000,12425000
8,22 Protection de la cote littoral,,,,,,,,,,,,,,,,,3217500,2617879,3217500,2617879
9,1 Acquisition au profit de l'etat et gestion des proprietes non agricole,,,,,,,,,,,,,,,3231456,4106506.4450000003,3307000,3351697,6538456,7458203.445
10,1 Arts,,,,,,,,,,,,,,,16439000,18181191,18648153,15722653,35087153,33903844
11,1 Commerce Interne,,,,,,,,,,,,,,,,,1622033000,1622033000,1622033000,1622033000
12,1 Cooperation Internationale,,,,,,,,,,,,,,,27555000,29281944.397,,,27555000,29281944.397
13,1 Cycle Primaire au Nord,,,,,,,,,,,339444633,352957758.911,362851116,373763705.512,366697700,415690085.31500006,432632500,447787743.05,1501625949,1590199292.788
14,1 Douane,,,,,,,,,,,,,180207000,182982440,200557000,210174149,213489000,216169264,594253000,609325853
15,1 Education Superieure Nord,,,,,,,,,,,364270500,341590515.4009999,370859500,361997675.558,356270000,374992943.02199996,374315000,374096510.36399996,1465715000,1452677644.3449998
16,1 Emploi et Relation Professionnelle,,,,,,,,,,,,,,,15450562.000000004,16144587.150000002,17298567.00000001,17274567.00000001,32749129.000000015,33419154.150000013
17,1 Energie,,,,,,,,,,,,,2561001338,2361271338,1295149500,1294976500,587995000,586335000,4444145838,4242582838
18,1 Environment et Qualite de Vie,,,,,,,,,,,,,,,,,143585000,33862000,143585000,33862000
19,1 Femme et Famille,,,,,,,,,,,,,,,3986000,4521610,3580000,3420000,7566000,7941610
20,1 Formation Professionnelle,,,,,,,,,,,,,195004000,193747445,209038000,214865500,220069000,219316000,624111000,627928945
21,1 Infrastructure Digitale,,,,,,,,,,,,,,,,,1400935,1422718,1400935,1422718
22,1 Infrastructures des Routes,,,,,,,,,,,,,,,,,83080000,262080294.3310001,83080000,262080294.3310001
23,1 Jeunesse,,,,,,,,,,,,,,,70004999.99999999,96068114.39999999,83845551.99999996,89045551.99999994,153850551.99999994,185113666.39999992
24,1 Leadership du secteur touristique,,,,,,,,,,,,,,,118213000,123496883,114432000,47264000,232645000,170760883
